"","Time","Time.Code","Country.Name","Country.Code","EG.CFT.ACCS.ZS","EN.ATM.CO2E.KD.GD","SL.AGR.EMPL.ZS","SL.AGR.EMPL.FE.ZS","SL.AGR.EMPL.MA.ZS","SL.SRV.EMPL.ZS","SL.SRV.EMPL.FE.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.MKTP.PP.CD","NY.GNP.PCAP.KD","NY.GNP.MKTP.PC.CD","NY.GNP.PCAP.PP.CD","NY.GNP.MKTP.PP.CD","IT.NET.USER.ZS","NV.IND.MANF.ZS","NV.IND.MANF.CD","SH.ANM.ALLW.ZS","SP.URB.TOTL","Happiness_score"
"15",2015,"YR2015","Belarus","BLR",99.3,0.97228338,9.699999809,6.659999847,12.80000019,59.22999954,72.94999695,1.74e+11,1.71e+11,5714.157577,5714.157577,17330,1.64e+11,62.23036091,20.6443546,11654715559,19.5,7302153,5.813
"85",2015,"YR2015","IBRD only","IBD",68.80306417,0.770819483,29.28751393,26.59133683,30.91870867,44.92519136,53.3051818,5.44e+13,5.38e+13,5472.959262,5472.959262,11383.40235,5.3e+13,39.18590774,21.45050549,5.54e+12,28.70363276,2476317766,NA
"189",2015,"YR2015","Sudan","SDN",45.4,0.276146575,41.25,57.13999939,35.91999817,41.65999985,38.52000046,1.8e+11,1.73e+11,2135.425049,2135.425049,4330,1.69e+11,NA,NA,NA,36.3,13185765,4.55
"136",2015,"YR2015","Montenegro","MNE",61.4,0.58203886,7.71999979,8.170000076,7.349999905,74.81999969,83.80999756,11362856805,10161628572,6659.939405,6659.939405,16690,10384204628,68.11978601,4.08869912,165785635.1,16.3,409418,5.192
"70",2015,"YR2015","Gabon","GAB",85.6,0.3810025,32.13999939,49.27999878,22.38999939,57.34000015,48.13999939,30208747765,28630139365,6771.467149,6771.467149,13480,26252661543,45.78453653,16.68703304,2400113937,54,1716265,3.896
"35",2015,"YR2015","Chad","TCD",4.1,0.088581302,75.37999725,74.11000061,76.43000031,22.55999947,25.30999947,26205595208,25682812591,752.4979871,752.4979871,1760,24904346468,3.5,2.778290083,304233661.1,47.6,3177085,3.667
"174",2015,"YR2015","Slovak Republic","SVK",100,0.347585054,3.180000067,1.330000043,4.670000076,60.70999908,77.91999817,1.56e+11,1.63e+11,15941.55327,15941.55327,29230,1.59e+11,77.63468203,19.60692867,17378979428,22.9,2922832,NA
"88",2015,"YR2015","IDA blend","IDB",26.9915472,0.424441427,42.05732041,47.06622997,39.17773594,41.30297423,42.3098333,2.55e+12,2.54e+12,1926.089146,1926.089146,4852.084422,2.49e+12,18.91860563,10.64034398,1.08e+11,43.26723231,209437703,NA
"193",2015,"YR2015","Tajikistan","TJK",77.3,0.575473167,48.56000137,64.51999664,38.81999969,35.93999863,29.32999992,25231176512,26633770683,1158.9782,1158.9782,3730,31549266607,18.98,10.73290727,887767519.6,32,2260774,4.786
"74",2015,"YR2015","Ghana","GHA",21.1,0.318533647,35.18000031,27.45000076,41.88000107,46.13999939,52.33000183,1.33e+11,1.45e+11,1720.73469,1720.73469,5050,1.41e+11,23,11.09829962,5483288995,40.7,15062520,4.633
"215",2015,"YR2015","Zambia","ZMB",14,0.238574574,52.27000046,58.45999908,46.63000107,37.13000107,37.31000137,54681456236,54472595406,1312.344805,1312.344805,3360,53416507707,8.8,7.522311308,1598582684,30.7,6654568,5.129
